quantity,accepted_replicates,rejected_draws,rejection_fraction
healthy,2000,467,0.1893
malignant,2000,1128,0.3606
dome,2000,306,0.1327
2D,2000,0,0.0
"('malignant', 'healthy')",2000,1911,0.4886
"('dome', '2D')",2000,345,0.1471
healthy,2000,495,0.1984
malignant,2000,1192,0.3734
dome,2000,303,0.1316
2D,2000,0,0.0
"('malignant', 'healthy')",2000,1822,0.4767
"('dome', '2D')",2000,312,0.1349
healthy,2000,453,0.1847
malignant,2000,1117,0.3584
dome,2000,297,0.1293
2D,2000,0,0.0
"('malignant', 'healthy')",2000,1878,0.4843
"('dome', '2D')",2000,317,0.1368
healthy,2000,477,0.1926
malignant,2000,1145,0.3641
dome,2000,305,0.1323
2D,2000,0,0.0
"('malignant', 'healthy')",2000,1907,0.4881
"('dome', '2D')",2000,285,0.1247
healthy,2000,446,0.1823
malignant,2000,1180,0.3711
dome,2000,324,0.1394
2D,2000,0,0.0
"('malignant', 'healthy')",2000,1885,0.4852
"('dome', '2D')",2000,297,0.1293
healthy,2000,484,0.1948
malignant,2000,1188,0.3726
dome,2000,336,0.1438
2D,2000,0,0.0
"('malignant', 'healthy')",2000,1851,0.4807
"('dome', '2D')",2000,306,0.1327
healthy,2000,477,0.1926
malignant,2000,1155,0.3661
dome,2000,315,0.1361
2D,2000,0,0.0
"('malignant', 'healthy')",2000,1830,0.4778
"('dome', '2D')",2000,303,0.1316
healthy,2000,416,0.1722
malignant,2000,1145,0.3641
dome,2000,313,0.1353
2D,2000,0,0.0
"('malignant', 'healthy')",2000,1814,0.4756
"('dome', '2D')",2000,337,0.1442
healthy,2000,428,0.1763
malignant,2000,1092,0.3532
dome,2000,289,0.1263
2D,2000,0,0.0
"('malignant', 'healthy')",2000,1802,0.474
"('dome', '2D')",2000,350,0.1489
healthy,2000,478,0.1929
malignant,2000,1138,0.3627
dome,2000,289,0.1263
2D,2000,0,0.0
"('malignant', 'healthy')",2000,1903,0.4876
"('dome', '2D')",2000,283,0.124
healthy,2000,474,0.1916
malignant,2000,1192,0.3734
dome,2000,309,0.1338
2D,2000,0,0.0
"('malignant', 'healthy')",2000,1949,0.4935
"('dome', '2D')",2000,317,0.1368
healthy,2000,405,0.1684
malignant,2000,1145,0.3641
dome,2000,303,0.1316
2D,2000,0,0.0
"('malignant', 'healthy')",2000,1832,0.4781
"('dome', '2D')",2000,296,0.1289
